epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.20332,1.37287,2.21045,0.73228,2.69373,1.71022,0.63614,0.86411,0.83533,0.51439,0.67076,0.8094,0.82688,0.34511,1.11411,2.05319,0.67646,1.39123,1.59126,0.00018337,0.00018337,0.00018337
2,15.6136,1.11307,0.64642,0.63948,1.58763,1.36541,0.81897,0.5,0.54642,0.35286,0.81897,0.5,0.54642,0.36773,0.99364,1.42881,0.56409,8.49739,1.65776,0.000380879,0.000380879,0.000380879
3,20.345,1.1553,0.39545,0.56956,1.44471,1.41034,0.78191,0.86111,0.93754,0.61784,0.78191,0.86111,0.93754,0.88144,1.02463,0.52701,0.44981,2.83564,1.80795,0.000575748,0.000575748,0.000575748
4,25.134,1.09589,0.36348,0.5372,1.3452,1.35748,0.87,0.55556,0.70949,0.43913,0.57464,0.72917,0.7612,0.69752,1.21331,0.62726,0.38697,6.75347,1.92261,0.000767977,0.000767977,0.000767977
5,30.9956,1.16064,0.32509,0.4918,1.21762,1.35693,0.65768,0.72622,0.88775,0.36465,0.65768,0.72622,0.88958,0.79854,1.69097,0.47134,0.3734,8.05454,2.74004,0.000957565,0.000957565,0.000957565
6,35.5024,1.19289,0.327,0.45049,1.24955,1.38913,0.80273,0.72511,0.80771,0.46066,0.80273,0.72511,0.80771,0.77644,1.28253,0.41522,0.38932,3.54363,1.79773,0.00114451,0.00114451,0.00114451
7,40.0163,1.11937,0.30106,0.42892,1.14999,1.35782,0.77637,0.76626,0.80196,0.41706,0.77294,0.77715,0.81307,0.72895,1.63721,0.35033,0.30218,1.84132,2.13764,0.00132882,0.00132882,0.00132882
8,45.8501,1.15266,0.27647,0.39154,1.13768,1.38436,0.73807,0.78709,0.74972,0.44128,0.73807,0.78709,0.74972,0.73057,1.44959,0.29573,0.22146,1.33477,2.05852,0.00151049,0.00151049,0.00151049
9,50.2834,1.07024,0.29773,0.34383,1.00344,1.29727,0.58518,0.74101,0.77751,0.39215,0.58518,0.74101,0.77751,0.67529,1.60914,0.6172,0.16704,1.78934,1.93715,0.00157898,0.00157898,0.00157898
10,54.9349,1.16053,0.2891,0.34307,0.98584,1.35315,0.65213,0.7761,0.84629,0.44158,0.65213,0.7761,0.84742,0.81833,1.4099,0.34303,0.21396,1.55362,1.84559,0.00156798,0.00156798,0.00156798
